"year","month","day","hour","min","sec","Mean(mf01)","Mean(mf02)","Mean(mf03)","Mean(pc13)","Mean(pc14)","Mean(pc15)"
2012,2,22,17,22,36,13800.211538461532,14957.36538461538,8633.249999999996,75.23076923076918,188.59615384615387,21647.13461538461
2012,2,22,17,22,37,13616.019999999997,14858.680000000004,8098.049999999997,76.06000000000004,185.52000000000007,178.73
2012,2,22,17,22,38,13216.029999999999,14443.61,7966.850000000003,74.89999999999996,187.0900000000001,154.25000000000003
2012,2,22,17,22,39,13146.670000000006,14360.050000000005,8187.36,76.99000000000001,185.45,153.25
2012,2,22,17,22,40,13232.619999999994,14459.900000000001,8279.100000000006,74.85000000000001,187.61000000000013,153.0699999999999
2012,2,22,17,22,41,13274.810000000001,14485.43,8303.83,74.41999999999999,187.62,153.18999999999997
2012,2,22,17,22,42,13279.600000000006,14521.410000000002,8339.400000000001,70.81,186.01999999999992,151.83
2012,2,22,17,22,43,13288.700000000004,14521.93,8310.649999999996,71.33000000000003,188.84000000000012,152.89999999999995
2012,2,22,17,22,44,15262.140000000001,16741.8,8251.300000000001,72.56999999999998,188.60000000000002,151.34000000000006
2012,2,22,17,22,45,13411.690000000008,14659.980000000003,8220.330000000007,75.13999999999997,190.04,150.61000000000004
2012,2,22,17,22,46,13349.799999999996,14616.17,8231.439999999999,74.85999999999997,190.28000000000011,151.10999999999993
2012,2,22,17,22,47,13337.20000000001,14597.300000000005,9195.950000000006,75.11000000000003,190.8,151.1599999999999
2012,2,22,17,22,48,13380.620000000014,14644.30999999999,8466.93,75.17999999999996,189.06999999999996,151.82999999999996
2012,2,22,17,22,49,13571.730000000007,14861.710000000005,8254.59000000001,75.15000000000002,188.64000000000001,149.61999999999998
2012,2,22,17,22,50,13467.819999999996,14748.300000000005,8252.7,75.61,187.15000000000006,150.26
2012,2,22,17,22,51,13645.710000000012,14955.230000000009,8182.5199999999995,73.01,187.86999999999998,149.42999999999995
2012,2,22,17,22,52,13314.900000000003,14562.699999999993,8151.230000000001,74.35000000000002,188.22000000000003,148.48999999999998
2012,2,22,17,22,53,13071.760000000002,14292.250000000007,8148.079999999999,73.68999999999998,188.57000000000005,150.2400000000001
2012,2,22,17,22,54,13788.680000000002,15133.52,8441.240000000005,75.62000000000002,185.23999999999995,152.32000000000005
2012,2,22,17,22,55,13399.010000000004,14685.289999999994,8708.440000000004,76.42,187.67000000000016,150.47000000000003
